[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020515s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001161s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001222s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001047s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001314s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004962s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001336s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001416s ]
[ 2012-09-28T03:42:26+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:42:26+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001104s ]
[ 2012-09-28T03:42:26+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001160s ]
[ 2012-09-28T03:42:27+08:00 ] /taodandan/index.php | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.011669s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003392s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003534s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.027374s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027470s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000825s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000827s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000716s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000852s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003377s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
