[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000771s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name=\'admin\'  [ RunTime:0.000155s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000641s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000718s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000403s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000465s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000655s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000226s ]
[ 2012-06-29T13:51:42+08:00 ] /top/admin.php/index/login | NOTIC: [8] Trying to get property of non-object indexAction.class.php 第 25 行.
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000647s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000726s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000452s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000608s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000174s ]
[ 2012-06-29T13:51:50+08:00 ] /top/admin.php/index/login | NOTIC: [8] Trying to get property of non-object indexAction.class.php 第 25 行.
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000649s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000728s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000399s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000454s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000766s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000216s ]
[ 2012-06-29T13:51:57+08:00 ] /top/admin.php/index/login | NOTIC: [8] Trying to get property of non-object indexAction.class.php 第 25 行.
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000994s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001111s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000620s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000705s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000867s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000325s ]
[ 2012-06-29T13:52:28+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined index: password indexAction.class.php 第 25 行.
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000715s ]
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000797s ]
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000436s ]
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000496s ]
[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000647s ]
