[ 2012-06-30T09:44:06+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000452s ]
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000638s ]
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000711s ]
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000391s ]
[ 2012-06-30T09:44:17+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000453s ]
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000605s ]
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000674s ]
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000368s ]
[ 2012-06-30T09:44:28+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000420s ]
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000577s ]
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000644s ]
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000355s ]
[ 2012-06-30T09:44:39+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000405s ]
[ 2012-06-30T09:44:50+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:44:50+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000580s ]
[ 2012-06-30T09:44:50+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000647s ]
[ 2012-06-30T09:44:50+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:44:50+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000366s ]
